Primary_key,country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source,note
Austria2020-01,Austria,AUT,Europe,8978929,cases,0,2020-01,0,0,TESSy COVID-19,
Austria2020-02,Austria,AUT,Europe,8978929,cases,0,2020-02,0,0,TESSy COVID-19,
Austria2020-03,Austria,AUT,Europe,8978929,cases,0,2020-03,0,0,TESSy COVID-19,
Austria2020-04,Austria,AUT,Europe,8978929,cases,0,2020-04,0,0,TESSy COVID-19,
Austria2020-05,Austria,AUT,Europe,8978929,cases,0,2020-05,0,0,TESSy COVID-19,
Austria2020-06,Austria,AUT,Europe,8978929,cases,0,2020-06,0,0,TESSy COVID-19,
Austria2020-07,Austria,AUT,Europe,8978929,cases,0,2020-07,0,0,TESSy COVID-19,
Austria2020-08,Austria,AUT,Europe,8978929,cases,0,2020-08,0,0,TESSy COVID-19,
Austria2020-09,Austria,AUT,Europe,8978929,cases,12,2020-09,0,12,TESSy COVID-19,
Austria2020-10,Austria,AUT,Europe,8978929,cases,115,2020-10,1.414422589,127,TESSy COVID-19,
Austria2020-11,Austria,AUT,Europe,8978929,cases,874,2020-11,11.01467669,1001,TESSy COVID-19,
Austria2020-12,Austria,AUT,Europe,8978929,cases,3046,2020-12,43.65776809,4047,TESSy COVID-19,
Austria2020-13,Austria,AUT,Europe,8978929,cases,5098,2020-13,90.70124065,9145,TESSy COVID-19,
Austria2020-14,Austria,AUT,Europe,8978929,cases,3114,2020-14,91.45856928,12259,TESSy COVID-19,
Austria2020-15,Austria,AUT,Europe,8978929,cases,1838,2020-15,55.15134377,14097,TESSy COVID-19,
Austria2020-16,Austria,AUT,Europe,8978929,cases,686,2020-16,28.1102568,14783,TESSy COVID-19,
Austria2020-17,Austria,AUT,Europe,8978929,cases,450,2020-17,12.651843,15233,TESSy COVID-19,
Austria2020-18,Austria,AUT,Europe,8978929,cases,309,2020-18,8.453123975,15542,TESSy COVID-19,
Austria2020-19,Austria,AUT,Europe,8978929,cases,260,2020-19,6.337058685,15802,TESSy COVID-19,
Austria2020-20,Austria,AUT,Europe,8978929,cases,324,2020-20,6.504116471,16126,TESSy COVID-19,
Austria2020-21,Austria,AUT,Europe,8978929,cases,264,2020-21,6.548665214,16390,TESSy COVID-19,
Austria2020-22,Austria,AUT,Europe,8978929,cases,195,2020-22,5.111968254,16585,TESSy COVID-19,
Austria2020-23,Austria,AUT,Europe,8978929,cases,228,2020-23,4.711029567,16813,TESSy COVID-19,
