Primary_key,country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source,note
Austria2020-01,Austria,AUT,Europe,8978929,deaths,0,2020-01,0,0,TESSy COVID-19,
Austria2020-02,Austria,AUT,Europe,8978929,deaths,0,2020-02,0,0,TESSy COVID-19,
Austria2020-03,Austria,AUT,Europe,8978929,deaths,0,2020-03,0,0,TESSy COVID-19,
Austria2020-04,Austria,AUT,Europe,8978929,deaths,0,2020-04,0,0,TESSy COVID-19,
Austria2020-05,Austria,AUT,Europe,8978929,deaths,0,2020-05,0,0,TESSy COVID-19,
Austria2020-06,Austria,AUT,Europe,8978929,deaths,0,2020-06,0,0,TESSy COVID-19,
Austria2020-07,Austria,AUT,Europe,8978929,deaths,0,2020-07,0,0,TESSy COVID-19,
Austria2020-08,Austria,AUT,Europe,8978929,deaths,0,2020-08,0,0,TESSy COVID-19,
Austria2020-09,Austria,AUT,Europe,8978929,deaths,0,2020-09,0,0,TESSy COVID-19,
Austria2020-10,Austria,AUT,Europe,8978929,deaths,0,2020-10,0,0,TESSy COVID-19,
Austria2020-11,Austria,AUT,Europe,8978929,deaths,2,2020-11,0.222743715,2,TESSy COVID-19,
Austria2020-12,Austria,AUT,Europe,8978929,deaths,30,2020-12,3.563899436,32,TESSy COVID-19,
Austria2020-13,Austria,AUT,Europe,8978929,deaths,101,2020-13,14.58971332,133,TESSy COVID-19,
Austria2020-14,Austria,AUT,Europe,8978929,deaths,126,2020-14,25.28141162,259,TESSy COVID-19,
Austria2020-15,Austria,AUT,Europe,8978929,deaths,150,2020-15,30.73863264,409,TESSy COVID-19,
Austria2020-16,Austria,AUT,Europe,8978929,deaths,120,2020-16,30.07040149,529,TESSy COVID-19,
Austria2020-17,Austria,AUT,Europe,8978929,deaths,78,2020-17,22.05162776,607,TESSy COVID-19,
Austria2020-18,Austria,AUT,Europe,8978929,deaths,51,2020-18,14.3669696,658,TESSy COVID-19,
Austria2020-19,Austria,AUT,Europe,8978929,deaths,32,2020-19,9.243864162,690,TESSy COVID-19,
Austria2020-20,Austria,AUT,Europe,8978929,deaths,15,2020-20,5.234477297,705,TESSy COVID-19,
Austria2020-21,Austria,AUT,Europe,8978929,deaths,17,2020-21,3.563899436,722,TESSy COVID-19,
Austria2020-22,Austria,AUT,Europe,8978929,deaths,15,2020-22,3.563899436,737,TESSy COVID-19,
Austria2020-23,Austria,AUT,Europe,8978929,deaths,15,2020-23,3.341155721,752,TESSy COVID-19,
Austria2020-24,Austria,AUT,Europe,8978929,deaths,15,2020-24,3.341155721,767,TESSy COVID-19,
Austria2020-25,Austria,AUT,Europe,8978929,deaths,17,2020-25,3.563899436,784,TESSy COVID-19,
Austria2020-26,Austria,AUT,Europe,8978929,deaths,17,2020-26,3.786643151,801,TESSy COVID-19,
Austria2020-27,Austria,AUT,Europe,8978929,deaths,9,2020-27,2.895668292,810,TESSy COVID-19,
Austria2020-28,Austria,AUT,Europe,8978929,deaths,7,2020-28,1.781949718,817,TESSy COVID-19,
Austria2020-29,Austria,AUT,Europe,8978929,deaths,10,2020-29,1.893321575,827,TESSy COVID-19,
Austria2020-30,Austria,AUT,Europe,8978929,deaths,8,2020-30,2.004693433,835,TESSy COVID-19,
Austria2020-31,Austria,AUT,Europe,8978929,deaths,17,2020-31,2.784296434,852,TESSy COVID-19,
Austria2020-32,Austria,AUT,Europe,8978929,deaths,12,2020-32,3.229783864,864,TESSy COVID-19,
Austria2020-33,Austria,AUT,Europe,8978929,deaths,10,2020-33,2.450180862,874,TESSy COVID-19,
Austria2020-34,Austria,AUT,Europe,8978929,deaths,13,2020-34,2.56155272,887,TESSy COVID-19,
Austria2020-35,Austria,AUT,Europe,8978929,deaths,6,2020-35,2.11606529,893,TESSy COVID-19,
Austria2020-36,Austria,AUT,Europe,8978929,deaths,16,2020-36,2.450180862,909,TESSy COVID-19,
Austria2020-37,Austria,AUT,Europe,8978929,deaths,15,2020-37,3.452527579,924,TESSy COVID-19,
Austria2020-38,Austria,AUT,Europe,8978929,deaths,24,2020-38,4.343502438,948,TESSy COVID-19,
Austria2020-39,Austria,AUT,Europe,8978929,deaths,34,2020-39,6.459567728,982,TESSy COVID-19,
Austria2020-40,Austria,AUT,Europe,8978929,deaths,40,2020-40,8.241517446,1022,TESSy COVID-19,
Austria2020-41,Austria,AUT,Europe,8978929,deaths,71,2020-41,12.36227617,1093,TESSy COVID-19,
Austria2020-42,Austria,AUT,Europe,8978929,deaths,65,2020-42,15.1465726,1158,TESSy COVID-19,
Austria2020-43,Austria,AUT,Europe,8978929,deaths,126,2020-43,21.27202476,1284,TESSy COVID-19,
Austria2020-44,Austria,AUT,Europe,8978929,deaths,261,2020-44,43.10090881,1545,TESSy COVID-19,
Austria2020-45,Austria,AUT,Europe,8978929,deaths,397,2020-45,73.28268216,1942,TESSy COVID-19,
Austria2020-46,Austria,AUT,Europe,8978929,deaths,623,2020-46,113.5992945,2565,TESSy COVID-19,
Austria2020-47,Austria,AUT,Europe,8978929,deaths,766,2020-47,154.6955099,3331,TESSy COVID-19,
Austria2020-48,Austria,AUT,Europe,8978929,deaths,858,2020-48,180.8678964,4189,TESSy COVID-19,
Austria2020-49,Austria,AUT,Europe,8978929,deaths,921,2020-49,198.1305343,5110,TESSy COVID-19,
Austria2020-50,Austria,AUT,Europe,8978929,deaths,849,2020-50,197.1281876,5959,TESSy COVID-19,
Austria2020-51,Austria,AUT,Europe,8978929,deaths,704,2020-51,172.9604945,6663,TESSy COVID-19,
Austria2020-52,Austria,AUT,Europe,8978929,deaths,615,2020-52,146.8994799,7278,TESSy COVID-19,
Austria2020-53,Austria,AUT,Europe,8978929,deaths,517,2020-53,126.0729426,7795,TESSy COVID-19,
Austria2021-01,Austria,AUT,Europe,8978929,deaths,436,2021-01,106.1373801,8231,TESSy COVID-19,
Austria2021-02,Austria,AUT,Europe,8978929,deaths,450,2021-02,98.67546564,8681,TESSy COVID-19,
Austria2021-03,Austria,AUT,Europe,8978929,deaths,400,2021-03,94.66607877,9081,TESSy COVID-19,
Austria2021-04,Austria,AUT,Europe,8978929,deaths,369,2021-04,85.64495832,9450,TESSy COVID-19,
Austria2021-05,Austria,AUT,Europe,8978929,deaths,298,2021-05,74.28502887,9748,TESSy COVID-19,
Austria2021-06,Austria,AUT,Europe,8978929,deaths,253,2021-06,61.36589342,10001,TESSy COVID-19,
Austria2021-07,Austria,AUT,Europe,8978929,deaths,218,2021-07,52.45614483,10219,TESSy COVID-19,
Austria2021-08,Austria,AUT,Europe,8978929,deaths,224,2021-08,49.22636096,10443,TESSy COVID-19,
Austria2021-09,Austria,AUT,Europe,8978929,deaths,190,2021-09,46.10794895,10633,TESSy COVID-19,
Austria2021-10,Austria,AUT,Europe,8978929,deaths,214,2021-10,44.99423038,10847,TESSy COVID-19,
Austria2021-11,Austria,AUT,Europe,8978929,deaths,246,2021-11,51.23105439,11093,TESSy COVID-19,
Austria2021-12,Austria,AUT,Europe,8978929,deaths,216,2021-12,51.45379811,11309,TESSy COVID-19,
Austria2021-13,Austria,AUT,Europe,8978929,deaths,271,2021-13,54.23809454,11580,TESSy COVID-19,
Austria2021-14,Austria,AUT,Europe,8978929,deaths,251,2021-14,58.13610955,11831,TESSy COVID-19,
Austria2021-15,Austria,AUT,Europe,8978929,deaths,245,2021-15,55.24044126,12076,TESSy COVID-19,
Austria2021-16,Austria,AUT,Europe,8978929,deaths,200,2021-16,49.56047653,12276,TESSy COVID-19,
Austria2021-17,Austria,AUT,Europe,8978929,deaths,194,2021-17,43.88051181,12470,TESSy COVID-19,
Austria2021-18,Austria,AUT,Europe,8978929,deaths,157,2021-18,39.09152194,12627,TESSy COVID-19,
Austria2021-19,Austria,AUT,Europe,8978929,deaths,105,2021-19,29.17942663,12732,TESSy COVID-19,
Austria2021-20,Austria,AUT,Europe,8978929,deaths,73,2021-20,19.82419061,12805,TESSy COVID-19,
Austria2021-21,Austria,AUT,Europe,8978929,deaths,72,2021-21,16.14891932,12877,TESSy COVID-19,
Austria2021-22,Austria,AUT,Europe,8978929,deaths,48,2021-22,13.36462289,12925,TESSy COVID-19,
Austria2021-23,Austria,AUT,Europe,8978929,deaths,37,2021-23,9.466607877,12962,TESSy COVID-19,
Austria2021-24,Austria,AUT,Europe,8978929,deaths,33,2021-24,7.796030016,12995,TESSy COVID-19,
Austria2021-25,Austria,AUT,Europe,8978929,deaths,19,2021-25,5.791336584,13014,TESSy COVID-19,
Austria2021-26,Austria,AUT,Europe,8978929,deaths,24,2021-26,4.788989867,13038,TESSy COVID-19,
Austria2021-27,Austria,AUT,Europe,8978929,deaths,12,2021-27,4.009386866,13050,TESSy COVID-19,
Austria2021-28,Austria,AUT,Europe,8978929,deaths,14,2021-28,2.895668292,13064,TESSy COVID-19,
Austria2021-29,Austria,AUT,Europe,8978929,deaths,16,2021-29,3.341155721,13080,TESSy COVID-19,
Austria2021-30,Austria,AUT,Europe,8978929,deaths,15,2021-30,3.452527579,13095,TESSy COVID-19,
Austria2021-31,Austria,AUT,Europe,8978929,deaths,19,2021-31,3.786643151,13114,TESSy COVID-19,
Austria2021-32,Austria,AUT,Europe,8978929,deaths,16,2021-32,3.898015008,13130,TESSy COVID-19,
Austria2021-33,Austria,AUT,Europe,8978929,deaths,13,2021-33,3.229783864,13143,TESSy COVID-19,
Austria2021-34,Austria,AUT,Europe,8978929,deaths,34,2021-34,5.234477297,13177,TESSy COVID-19,
Austria2021-35,Austria,AUT,Europe,8978929,deaths,44,2021-35,8.687004876,13221,TESSy COVID-19,
Austria2021-36,Austria,AUT,Europe,8978929,deaths,51,2021-36,10.58032645,13272,TESSy COVID-19,
Austria2021-37,Austria,AUT,Europe,8978929,deaths,86,2021-37,15.25794446,13358,TESSy COVID-19,
Austria2021-38,Austria,AUT,Europe,8978929,deaths,73,2021-38,17.70812532,13431,TESSy COVID-19,
Austria2021-39,Austria,AUT,Europe,8978929,deaths,80,2021-39,17.03989418,13511,TESSy COVID-19,
Austria2021-40,Austria,AUT,Europe,8978929,deaths,73,2021-40,17.03989418,13584,TESSy COVID-19,
Austria2021-41,Austria,AUT,Europe,8978929,deaths,106,2021-41,19.93556247,13690,TESSy COVID-19,
Austria2021-42,Austria,AUT,Europe,8978929,deaths,112,2021-42,24.27906491,13802,TESSy COVID-19,
Austria2021-43,Austria,AUT,Europe,8978929,deaths,141,2021-43,28.17707992,13943,TESSy COVID-19,
Austria2021-44,Austria,AUT,Europe,8978929,deaths,208,2021-44,38.86877823,14151,TESSy COVID-19,
Austria2021-45,Austria,AUT,Europe,8978929,deaths,334,2021-45,60.3635467,14485,TESSy COVID-19,
Austria2021-46,Austria,AUT,Europe,8978929,deaths,395,2021-46,81.19008403,14880,TESSy COVID-19,
Austria2021-47,Austria,AUT,Europe,8978929,deaths,481,2021-47,97.56174706,15361,TESSy COVID-19,
Austria2021-48,Austria,AUT,Europe,8978929,deaths,480,2021-48,107.0283549,15841,TESSy COVID-19,
Austria2021-49,Austria,AUT,Europe,8978929,deaths,406,2021-49,98.67546564,16247,TESSy COVID-19,
Austria2021-50,Austria,AUT,Europe,8978929,deaths,281,2021-50,76.51246602,16528,TESSy COVID-19,
Austria2021-51,Austria,AUT,Europe,8978929,deaths,172,2021-51,50.45145139,16700,TESSy COVID-19,
Austria2021-52,Austria,AUT,Europe,8978929,deaths,128,2021-52,33.41155721,16828,TESSy COVID-19,
Austria2022-01,Austria,AUT,Europe,8978929,deaths,91,2022-01,24.39043677,16919,TESSy COVID-19,
Austria2022-02,Austria,AUT,Europe,8978929,deaths,69,2022-02,17.81949718,16988,TESSy COVID-19,
Austria2022-03,Austria,AUT,Europe,8978929,deaths,80,2022-03,16.59440675,17068,TESSy COVID-19,
Austria2022-04,Austria,AUT,Europe,8978929,deaths,109,2022-04,21.04928104,17177,TESSy COVID-19,
Austria2022-05,Austria,AUT,Europe,8978929,deaths,141,2022-05,27.84296434,17318,TESSy COVID-19,
Austria2022-06,Austria,AUT,Europe,8978929,deaths,181,2022-06,35.86173808,17499,TESSy COVID-19,
Austria2022-07,Austria,AUT,Europe,8978929,deaths,197,2022-07,42.09856209,17696,TESSy COVID-19,
Austria2022-08,Austria,AUT,Europe,8978929,deaths,219,2022-08,46.33069267,17915,TESSy COVID-19,
Austria2022-09,Austria,AUT,Europe,8978929,deaths,221,2022-09,49.00361725,18136,TESSy COVID-19,
Austria2022-10,Austria,AUT,Europe,8978929,deaths,195,2022-10,46.33069267,18331,TESSy COVID-19,
Austria2022-11,Austria,AUT,Europe,8978929,deaths,239,2022-11,48.3353861,18570,TESSy COVID-19,
Austria2022-12,Austria,AUT,Europe,8978929,deaths,290,2022-12,58.91571255,18860,TESSy COVID-19,
Austria2022-13,Austria,AUT,Europe,8978929,deaths,285,2022-13,64.03881799,19145,TESSy COVID-19,
Austria2022-14,Austria,AUT,Europe,8978929,deaths,216,2022-14,55.79730055,19361,TESSy COVID-19,
Austria2022-15,Austria,AUT,Europe,8978929,deaths,162,2022-15,42.09856209,19523,TESSy COVID-19,
Austria2022-16,Austria,AUT,Europe,8978929,deaths,129,2022-16,32.4092105,19652,TESSy COVID-19,
Austria2022-17,Austria,AUT,Europe,8978929,deaths,91,2022-17,24.50180862,19743,TESSy COVID-19,
Austria2022-18,Austria,AUT,Europe,8978929,deaths,80,2022-18,19.04458761,19823,TESSy COVID-19,
Austria2022-19,Austria,AUT,Europe,8978929,deaths,42,2022-19,13.5873666,19865,TESSy COVID-19,
Austria2022-20,Austria,AUT,Europe,8978929,deaths,36,2022-20,8.687004876,19901,TESSy COVID-19,
Austria2022-21,Austria,AUT,Europe,8978929,deaths,33,2022-21,7.684658159,19934,TESSy COVID-19,
Austria2022-22,Austria,AUT,Europe,8978929,deaths,24,2022-22,6.348195871,19958,TESSy COVID-19,
Austria2022-23,Austria,AUT,Europe,8978929,deaths,24,2022-23,5.345849154,19982,TESSy COVID-19,
Austria2022-24,Austria,AUT,Europe,8978929,deaths,28,2022-24,5.791336584,20010,TESSy COVID-19,
Austria2022-25,Austria,AUT,Europe,8978929,deaths,38,2022-25,7.350542587,20048,TESSy COVID-19,
Austria2022-26,Austria,AUT,Europe,8978929,deaths,49,2022-26,9.689351592,20097,TESSy COVID-19,
Austria2022-27,Austria,AUT,Europe,8978929,deaths,68,2022-27,13.03050731,20165,TESSy COVID-19,
Austria2022-28,Austria,AUT,Europe,8978929,deaths,61,2022-28,14.3669696,20226,TESSy COVID-19,
Austria2022-29,Austria,AUT,Europe,8978929,deaths,96,2022-29,17.48538161,20322,TESSy COVID-19,
Austria2022-30,Austria,AUT,Europe,8978929,deaths,103,2022-30,22.16299962,20425,TESSy COVID-19,
Austria2022-31,Austria,AUT,Europe,8978929,deaths,68,2022-31,19.04458761,20493,TESSy COVID-19,
Austria2022-32,Austria,AUT,Europe,8978929,deaths,71,2022-32,15.48068818,20564,TESSy COVID-19,
Austria2022-33,Austria,AUT,Europe,8978929,deaths,62,2022-33,14.81245703,20626,TESSy COVID-19,
Austria2022-34,Austria,AUT,Europe,8978929,deaths,53,2022-34,12.8077636,20679,TESSy COVID-19,
Austria2022-35,Austria,AUT,Europe,8978929,deaths,38,2022-35,10.13483902,20717,TESSy COVID-19,
Austria2022-36,Austria,AUT,Europe,8978929,deaths,47,2022-36,9.466607877,20764,TESSy COVID-19,
Austria2022-37,Austria,AUT,Europe,8978929,deaths,30,2022-37,8.575633018,20794,TESSy COVID-19,
Austria2022-38,Austria,AUT,Europe,8978929,deaths,38,2022-38,7.573286302,20832,TESSy COVID-19,
Austria2022-39,Austria,AUT,Europe,8978929,deaths,47,2022-39,9.466607877,20879,TESSy COVID-19,
Austria2022-40,Austria,AUT,Europe,8978929,deaths,103,2022-40,16.70577861,20982,TESSy COVID-19,
Austria2022-41,Austria,AUT,Europe,8978929,deaths,87,2022-41,21.1606529,21069,TESSy COVID-19,
Austria2022-42,Austria,AUT,Europe,8978929,deaths,79,2022-42,18.48772832,21148,TESSy COVID-19,
Austria2022-43,Austria,AUT,Europe,8978929,deaths,76,2022-43,17.26263789,21224,TESSy COVID-19,
Austria2022-44,Austria,AUT,Europe,8978929,deaths,52,2022-44,14.25559774,21276,TESSy COVID-19,
Austria2022-45,Austria,AUT,Europe,8978929,deaths,53,2022-45,11.69404502,21329,TESSy COVID-19,
Austria2022-46,Austria,AUT,Europe,8978929,deaths,55,2022-46,12.0281606,21384,TESSy COVID-19,
Austria2022-47,Austria,AUT,Europe,8978929,deaths,43,2022-47,10.91444202,21427,TESSy COVID-19,
Austria2022-48,Austria,AUT,Europe,8978929,deaths,53,2022-48,10.69169831,21480,TESSy COVID-19,
Austria2022-49,Austria,AUT,Europe,8978929,deaths,42,2022-49,10.58032645,21522,TESSy COVID-19,
Austria2022-50,Austria,AUT,Europe,8978929,deaths,58,2022-50,11.13718574,21580,TESSy COVID-19,
